School_District_Names,SAT-Scores
DenverCounty1,749
DenverCounty1,792
DenverCounty1,777
DenverCounty1,806
DenverCounty1,839
DenverCounty1,840
DenverCounty1,660
DenverCounty1,712
DenverCounty1,727
DenverCounty1,760
DenverCounty1,797
DenverCounty1,805
DenverCounty1,840
DenverCounty1,897
DenverCounty1,889
DenverCounty1,876
DenverCounty1,836
DenverCounty1,856
DenverCounty1,855
DenverCounty1,950
DenverCounty1,927
DenverCounty1,948
DenverCounty1,956
DenverCounty1,1045
DenverCounty1,1082
DenverCounty1,739
DenverCounty1,675
DenverCounty1,698
DenverCounty1,729
DenverCounty1,770
DenverCounty1,804
DenverCounty1,877
DenverCounty1,959
DenverCounty1,967
DenverCounty1,1010
DenverCounty1,1090
DenverCounty1,1058
DenverCounty1,783
DenverCounty1,823
DenverCounty1,928
DenverCounty1,829
DenverCounty1,865
DenverCounty1,870
DenverCounty1,922
DenverCounty1,1050
DenverCounty1,985
DenverCounty1,856
DenverCounty1,868
DenverCounty1,911
DenverCounty1,982
DenverCounty1,1131
DenverCounty1,1101
DenverCounty1,1055
DenverCounty1,1064
DenverCounty1,1114
DenverCounty1,1078
DenverCounty1,1197
DenverCounty1,1194
DenverCounty1,954
DenverCounty1,982
DenverCounty1,1013
DenverCounty1,1016
DenverCounty1,1160
DenverCounty1,1157
DenverCounty1,734
DenverCounty1,750
DenverCounty1,743
DenverCounty1,768
DenverCounty1,802
DenverCounty1,807
DenverCounty1,821
DenverCounty1,837
DenverCounty1,1003
DenverCounty1,1022
DenverCounty1,1127
DenverCounty1,1114
DenverCounty1,1234
DenverCounty1,1202
DenverCounty1,824
DenverCounty1,821
DenverCounty1,957
DenverCounty1,938
DenverCounty1,1060
DenverCounty1,876
DenverCounty1,861
DenverCounty1,947
DenverCounty1,913
DenverCounty1,963
DenverCounty1,978
DenverCounty1,968
DenverCounty1,994
DenverCounty1,1037
DenverCounty1,1059
DenverCounty1,1127
DenverCounty1,1105
DenverCounty1,676
DenverCounty1,712
DenverCounty1,732
DenverCounty1,795
DenverCounty1,744
DenverCounty1,824
DenverCounty1,873
DenverCounty1,830
DenverCounty1,811
DenverCounty1,811
DenverCounty1,851
DenverCounty1,842
DenverCounty1,826
DenverCounty1,758
DenverCounty1,767
DenverCounty1,841
DenverCounty1,912
DenverCounty1,969
DenverCounty1,956
DenverCounty1,972
DenverCounty1,1055
DenverCounty1,1035
DenverCounty1,871
DenverCounty1,878
DenverCounty1,909
DenverCounty1,769
DenverCounty1,819
DenverCounty1,817
DenverCounty1,863
DenverCounty1,884
DenverCounty1,894
DenverCounty1,806
DenverCounty1,802
DenverCounty1,852
DenverCounty1,893
DenverCounty1,900
DenverCounty1,998
DenverCounty1,1003
DenverCounty1,820
DenverCounty1,827
DenverCounty1,899
DenverCounty1,920
DenverCounty1,960
DenverCounty1,985
DenverCounty1,778
DenverCounty1,841
DenverCounty1,807
DenverCounty1,837
DenverCounty1,861
DenverCounty1,900
DenverCounty1,752
DenverCounty1,767
DenverCounty1,745
DenverCounty1,827
DenverCounty1,863
DenverCounty1,863
DenverCounty1,790
DenverCounty1,801
DenverCounty1,813
DenverCounty1,811
DenverCounty1,898
DenverCounty1,871
DenverCounty1,731
DenverCounty1,748
DenverCounty1,884
DenverCounty1,698
DenverCounty1,757
DenverCounty1,811
DenverCounty1,859
DenverCounty1,802
DenverCounty1,861
DenverCounty1,871
DenverCounty1,871
DenverCounty1,853
DenverCounty1,870
DenverCounty1,904
DenverCounty1,924
DenverCounty1,762
DenverCounty1,795
DenverCounty1,768
DenverCounty1,843
DenverCounty1,843
DenverCounty1,852
DenverCounty1,888
DenverCounty1,969
DenverCounty1,909
DenverCounty1,965
DenverCounty1,1013
DenverCounty1,977
DenverCounty1,876
DenverCounty1,892
DenverCounty1,961
DenverCounty1,1037
DenverCounty1,989
DenverCounty1,838
DenverCounty1,847
DenverCounty1,874
DenverCounty1,907
DenverCounty1,963
DenverCounty1,978
DenverCounty1,918
DenverCounty1,977
DenverCounty1,947
DenverCounty1,951
DenverCounty1,983
DenverCounty1,980
DenverCounty1,728
DenverCounty1,782
DenverCounty1,749
DenverCounty1,790
DenverCounty1,783
DenverCounty1,825
DenverCounty1,728
DenverCounty1,763
DenverCounty1,859
DenverCounty1,829
DenverCounty1,935
DenverCounty1,960
DenverCounty1,915
DenverCounty1,931
DenverCounty1,956
DenverCounty1,952
DenverCounty1,1017
DenverCounty1,1032
DenverCounty1,808
DenverCounty1,745
DenverCounty1,743
DenverCounty1,807
DenverCounty1,748
DenverCounty1,815
DenverCounty1,824
DenverCounty1,867
DenverCounty1,924
DenverCounty1,935
DenverCounty1,765
DenverCounty1,760
DenverCounty1,809
DenverCounty1,864
DenverCounty1,838
DenverCounty1,862
